id,product_name,category,review_text,language,sentiment,confidence,rating,reviewer_id,location,date,verified_purchase,helpfulness_votes,aspect_ratings
review_001,"Ultra Wireless Headphones",Electronics,"Amazing sound quality and comfortable fit! The noise cancellation is outstanding. Highly recommend for daily use.",en,positive,0.94,5,reviewer_12345,"New York, USA",2025-09-15,true,23,"sound_quality:positive,comfort:positive,noise_cancellation:positive"
review_002,"Fones de Ouvido Ultra",Electronics,"Excelente qualidade de som, mas o preço está um pouco alto. Mesmo assim, vale a pena pelo conforto.",pt,positive,0.82,4,reviewer_67890,"São Paulo, Brazil",2025-09-14,true,15,"sound_quality:positive,price:negative,comfort:positive"
review_003,"Auriculares Ultra",Electronics,"No estoy satisfecho con la duración de la batería. Se agota muy rápido y tarda mucho en cargar.",es,negative,0.88,2,reviewer_24680,"Madrid, Spain",2025-09-13,true,8,"battery_life:negative,charging_speed:negative"
review_004,"Casque Ultra Sans Fil",Electronics,"Produit correct mais rien d'exceptionnel. Le rapport qualité-prix est moyen. Service client décevant.",fr,neutral,0.71,3,reviewer_13579,"Paris, France",2025-09-12,false,5,"value_for_money:neutral,customer_service:negative"
review_005,"Ultra Kopfhörer",Electronics,"Fantastisches Produkt! Die Klangqualität ist hervorragend und die Akkulaufzeit ist beeindruckend.",de,positive,0.91,5,reviewer_97531,"Berlin, Germany",2025-09-11,true,31,"sound_quality:positive,battery_life:positive"
review_006,"Cuffie Ultra Wireless",Electronics,"Qualità costruttiva scadente. Si sono rotte dopo solo una settimana di utilizzo normale.",it,negative,0.89,1,reviewer_86420,"Rome, Italy",2025-09-10,true,12,"build_quality:negative,durability:negative"
review_007,"ウルトラワイヤレスヘッドフォン",Electronics,"音質は良いですが、フィット感がいまいちです。長時間の使用には向かないかもしれません。",ja,neutral,0.76,3,reviewer_75319,"Tokyo, Japan",2025-09-09,true,7,"sound_quality:positive,comfort:negative"
review_008,"超级无线耳机",Electronics,"性价比很高的产品。音质清晰，降噪效果也不错。推荐购买。",zh,positive,0.85,4,reviewer_64208,"Beijing, China",2025-09-08,true,19,"value_for_money:positive,sound_quality:positive,noise_cancellation:positive"
review_009,"Premium Coffee Beans",Food & Beverage,"Rich flavor and perfect aroma! This coffee has become my daily essential. Best I've tried in years.",en,positive,0.93,5,reviewer_53197,"Seattle, USA",2025-09-07,true,42,"flavor:positive,aroma:positive,quality:positive"
review_010,"Grãos de Café Premium",Food & Beverage,"Sabor amargo demais para o meu gosto. Prefiro cafés mais suaves e doces.",pt,negative,0.79,2,reviewer_42086,"Rio de Janeiro, Brazil",2025-09-06,true,6,"taste:negative,bitterness:negative"
review_011,"Granos de Café Premium",Food & Beverage,"Calidad estándar. No es malo pero tampoco excepcional. Hay mejores opciones por el mismo precio.",es,neutral,0.68,3,reviewer_31975,"Barcelona, Spain",2025-09-05,false,3,"quality:neutral,value_for_money:neutral"
review_012,"Grains de Café Premium",Food & Beverage,"Excellent café ! L'arôme est fantastique et le goût est riche et complexe. Je recommande vivement.",fr,positive,0.90,5,reviewer_20864,"Lyon, France",2025-09-04,true,28,"aroma:positive,flavor:positive,complexity:positive"
review_013,"Premium Kaffeebohnen",Food & Beverage,"Mittelmäßige Qualität für den Preis. Die Röstung ist ungleichmäßig und der Geschmack inkonsistent.",de,negative,0.84,2,reviewer_19753,"Munich, Germany",2025-09-03,true,9,"quality:negative,roasting:negative,consistency:negative"
review_014,"Chicchi di Caffè Premium",Food & Beverage,"Buon caffè ma la confezione è arrivata danneggiata. Il prodotto stesso è soddisfacente.",it,neutral,0.72,3,reviewer_08642,"Milan, Italy",2025-09-02,true,4,"product:positive,packaging:negative"
